title,authors,gutenberg_id,sitelinks,missing_language,language_marc,speakers_millions,opportunity_score
Book of Mormon,Joseph Smith; Mormon,17,126,Italian,ita,64.8,64.8
The Call of the Wild,Jack London,215,53,Russian,rus,154.0,64.778
Robinson Crusoe,Daniel Defoe,12623,98,Marathi,mar,83.1,64.633
Pride and Prejudice,Jane Austen,1342,99,Turkish,tur,82.2,64.586
Pride and Prejudice,Jane Austen,1342,99,Telugu,tel,82.0,64.429
United States Bill of Rights,,2,63,Japanese,jpn,128.0,64.0
Robinson Crusoe,Daniel Defoe,12623,98,Telugu,tel,82.0,63.778
A Journey to the Centre of the Earth,Jules Verne,18857,64,Punjabi,pan,125.0,63.492
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Punjabi,pan,125.0,62.5
United States Bill of Rights,,2,63,Punjabi,pan,125.0,62.5
A Study in Scarlet,Arthur Conan Doyle,244,61,Punjabi,pan,125.0,60.516
Through the Looking-Glass,Lewis Carroll,12,61,Punjabi,pan,125.0,60.516
Pride and Prejudice,Jane Austen,1342,99,Malay,may,77.0,60.5
Robinson Crusoe,Daniel Defoe,12623,98,Korean,kor,77.3,60.122
Critique of Pure Reason,Immanuel Kant,4280,59,Japanese,jpn,128.0,59.937
Leviathan,Thomas Hobbes,3207,59,Japanese,jpn,128.0,59.937
Robinson Crusoe,Daniel Defoe,12623,98,Malay,may,77.0,59.889
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Punjabi,pan,125.0,59.524
Robinson Crusoe,Daniel Defoe,12623,98,Vietnamese,vie,76.0,59.111
Critique of Pure Reason,Immanuel Kant,4280,59,Punjabi,pan,125.0,58.532
Leviathan,Thomas Hobbes,3207,59,Punjabi,pan,125.0,58.532
Robinson Crusoe,Daniel Defoe,12623,98,Tamil,tam,75.0,58.333
Book of Mormon,Joseph Smith; Mormon,17,126,Gujarati,guj,56.4,56.4
Treasure Island,Robert Louis Stevenson,120,85,Marathi,mar,83.1,56.06
Sense and Sensibility,Jane Austen,161,56,Punjabi,pan,125.0,55.556
Treasure Island,Robert Louis Stevenson,120,85,Turkish,tur,82.2,55.452
The Great Gatsby,F. Scott Fitzgerald,64317,84,Marathi,mar,83.1,55.4
Treasure Island,Robert Louis Stevenson,120,85,Telugu,tel,82.0,55.317
The Great Gatsby,F. Scott Fitzgerald,64317,84,Turkish,tur,82.2,54.8
Oliver Twist,Charles Dickens,56586,83,Marathi,mar,83.1,54.74
Ulysses,James Joyce,4300,83,Marathi,mar,83.1,54.74
The Great Gatsby,F. Scott Fitzgerald,64317,84,Telugu,tel,82.0,54.667
The Picture of Dorian Gray,Oscar Wilde,4078,82,Marathi,mar,83.1,54.081
Oliver Twist,Charles Dickens,56586,83,Telugu,tel,82.0,54.016
Ulysses,James Joyce,4300,83,Telugu,tel,82.0,54.016
Pride and Prejudice,Jane Austen,1342,99,Urdu,urd,68.6,53.9
The Call of the Wild,Jack London,215,53,Japanese,jpn,128.0,53.841
Pride and Prejudice,Jane Austen,1342,99,Javanese,jav,68.3,53.664
The Picture of Dorian Gray,Oscar Wilde,4078,82,Turkish,tur,82.2,53.495
The Picture of Dorian Gray,Oscar Wilde,4078,82,Telugu,tel,82.0,53.365
Robinson Crusoe,Daniel Defoe,12623,98,Urdu,urd,68.6,53.356
Robinson Crusoe,Daniel Defoe,12623,98,Javanese,jav,68.3,53.122
The Last of the Mohicans,James Fenimore Cooper,940,52,Japanese,jpn,128.0,52.825
The Call of the Wild,Jack London,215,53,Punjabi,pan,125.0,52.579
Treasure Island,Robert Louis Stevenson,120,85,Korean,kor,77.3,52.147
Treasure Island,Robert Louis Stevenson,120,85,Malay,may,77.0,51.944
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Punjabi,pan,125.0,51.587
The Last of the Mohicans,James Fenimore Cooper,940,52,Punjabi,pan,125.0,51.587
Little Women,Louisa May Alcott,514,52,Punjabi,pan,125.0,51.587
The Great Gatsby,F. Scott Fitzgerald,64317,84,Malay,may,77.0,51.333
Treasure Island,Robert Louis Stevenson,120,85,Vietnamese,vie,76.0,51.27
Oliver Twist,Charles Dickens,56586,83,Korean,kor,77.3,50.92
Ulysses,James Joyce,4300,83,Korean,kor,77.3,50.92
Oliver Twist,Charles Dickens,56586,83,Malay,may,77.0,50.722
Ulysses,James Joyce,4300,83,Malay,may,77.0,50.722
The Great Gatsby,F. Scott Fitzgerald,64317,84,Vietnamese,vie,76.0,50.667
Treasure Island,Robert Louis Stevenson,120,85,Tamil,tam,75.0,50.595
The Picture of Dorian Gray,Oscar Wilde,4078,82,Korean,kor,77.3,50.306
The Adventures of Tom Sawyer,Mark Twain,74,76,Marathi,mar,83.1,50.124
The Picture of Dorian Gray,Oscar Wilde,4078,82,Malay,may,77.0,50.111
Ulysses,James Joyce,4300,83,Vietnamese,vie,76.0,50.063
The Great Gatsby,F. Scott Fitzgerald,64317,84,Tamil,tam,75.0,50.0
The Adventures of Tom Sawyer,Mark Twain,74,76,Turkish,tur,82.2,49.581
A Christmas Carol,Charles Dickens,46,75,Marathi,mar,83.1,49.464
Dracula,Bram Stoker,345,75,Marathi,mar,83.1,49.464
The Picture of Dorian Gray,Oscar Wilde,4078,82,Vietnamese,vie,76.0,49.46
The Adventures of Tom Sawyer,Mark Twain,74,76,Telugu,tel,82.0,49.46
Oliver Twist,Charles Dickens,56586,83,Tamil,tam,75.0,49.405
Ulysses,James Joyce,4300,83,Tamil,tam,75.0,49.405
The Picture of Dorian Gray,Oscar Wilde,4078,82,Tamil,tam,75.0,48.81
A Christmas Carol,Charles Dickens,46,75,Telugu,tel,82.0,48.81
Dracula,Bram Stoker,345,75,Telugu,tel,82.0,48.81
The Adventures of Tom Sawyer,Mark Twain,74,76,Korean,kor,77.3,46.625
The Adventures of Tom Sawyer,Mark Twain,74,76,Malay,may,77.0,46.444
Treasure Island,Robert Louis Stevenson,120,85,Urdu,urd,68.6,46.278
Treasure Island,Robert Louis Stevenson,120,85,Javanese,jav,68.3,46.075
Dracula,Bram Stoker,345,75,Korean,kor,77.3,46.012
A Christmas Carol,Charles Dickens,46,75,Malay,may,77.0,45.833
Dracula,Bram Stoker,345,75,Malay,may,77.0,45.833
The Great Gatsby,F. Scott Fitzgerald,64317,84,Urdu,urd,68.6,45.733
The Great Gatsby,F. Scott Fitzgerald,64317,84,Javanese,jav,68.3,45.533
Great Expectations,Charles Dickens,1400,69,Marathi,mar,83.1,45.507
The Jungle Book,,236,69,Marathi,mar,83.1,45.507
The Adventures of Tom Sawyer,Mark Twain,74,76,Tamil,tam,75.0,45.238
A Christmas Carol,Charles Dickens,46,75,Vietnamese,vie,76.0,45.238
Dracula,Bram Stoker,345,75,Vietnamese,vie,76.0,45.238
Oliver Twist,Charles Dickens,56586,83,Urdu,urd,68.6,45.189
Ulysses,James Joyce,4300,83,Urdu,urd,68.6,45.189
The Jungle Book,,236,69,Turkish,tur,82.2,45.014
Book of Mormon,Joseph Smith; Mormon,17,126,Persian,per,45.0,45.0
Oliver Twist,Charles Dickens,56586,83,Javanese,jav,68.3,44.991
